symbol,as_of,close,one_day_return_pct,one_month_return_pct,three_month_return_pct,ytd_return_pct,one_year_return_pct,fifty_two_week_high,fifty_two_week_low,position_in_52w_range_pct,sma_50,sma_200,rsi_14,volume,average_volume_30d,source,retrieved_at,notes
NWPX,2026-08-19,111.4800,-1.9956,-19.3343,3.9925,78.3965,117.8620,152.0300,49.2500,60.5468,129.9900,89.8086,32.3184,142100,175063,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
OCC,2026-08-19,14.3600,-11.3580,-2.5119,39.6887,222.6966,169.9248,27.9800,4.0200,43.1553,17.3600,10.3388,56.6553,406200,235543,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
OKLO,2026-08-19,42.9400,3.8201,4.4515,-23.1568,-40.1617,-37.7591,193.8400,36.6100,4.0259,47.9322,69.0598,53.0378,7689900,9199957,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
POET,2026-08-19,8.4400,-0.4717,14.2084,-35.4246,33.3333,66.7984,20.8100,3.8700,26.9776,9.1098,7.9897,60.2113,7751300,12826187,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
PWR,2026-08-19,677.4100,-2.6920,7.7769,-5.1419,60.5009,76.7218,788.7500,363.0100,73.8479,672.5794,577.2323,55.0591,1130500,1099010,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
QBTS,2026-08-19,19.3200,-1.0753,15.4812,6.2122,-26.1185,16.6667,46.7500,12.7500,19.3235,20.7738,22.1677,56.0743,13051800,17353577,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
QSI,2026-08-19,0.7700,5.7692,-6.3260,-10.5691,-30.0000,-29.3578,3.1000,0.6900,3.3195,0.8465,1.0470,56.9444,2862300,2721533,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
QTEX,2026-08-19,1.1200,24.7216,-11.8110,194.7368,24.4444,-10.0402,3.8500,0.2830,23.4651,1.3341,0.9469,71.2610,27567200,3072820,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
QUBT,2026-08-19,8.4200,-1.1737,7.9487,-8.6768,-17.9337,-47.0274,25.8400,6.1800,11.3937,8.9222,9.7858,56.3898,6558600,8595340,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
RDW,2026-08-19,12.4000,-4.1731,46.7456,-10.8555,63.1579,37.1681,26.6400,4.8700,34.5889,11.4624,10.3031,75.0318,13829100,17126350,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
RGTI,2026-08-19,17.0000,-4.0090,20.4819,6.5163,-23.2506,2.2249,58.1500,12.5300,9.7983,17.5314,20.2960,63.0488,19211000,20477530,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
RIOT,2026-08-19,19.3800,2.4855,6.1336,-14.4182,52.9597,57.3052,30.3200,11.1600,42.9019,22.7503,18.4704,36.7633,22355100,20987767,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
RKLB,2026-08-19,75.8400,-4.1940,12.1562,-40.4289,8.7156,68.6458,151.0000,37.5700,33.7389,83.4078,78.6202,67.7594,16345600,19080080,Yahoo Finance chart,2026-08-20T04:04:06.061Z,Derived from committed daily OHLCV history.
