symbol,cik,exchange,filing_type,sec_form,source_url,source_published_at,retrieved_at,filing_path,section_start,section_end,accession_or_document_id,accession_number,primary_document,sec_form_original,acceptance_datetime,report_date,sec_submission_url,filing_selection_policy,filing_selection_tier,filing_selection_family,selection_reason,selected_sec_form_base,newer_supported_filing_displaced_count,newer_supported_filing_forms,lower_tier_newer_filing_forms,foundational_candidate_count,business_prospectus_424b_candidate_count,supplement_424b_candidate_count,unknown_424b_candidate_count,selection_warnings
CBRS,0002021728,Nasdaq,S-1,S-1/A,https://www.sec.gov/Archives/edgar/data/2021728/000162828026033143/cerebras-sx1a2.htm,2026-05-11,2026-08-22,,,,0001628280-26-033143/cerebras-sx1a2.htm,0001628280-26-033143,cerebras-sx1a2.htm,S-1/A,2026-05-11T12:04:58.000Z,,https://data.sec.gov/submissions/CIK0002021728.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,1,424B4,424B4,4,1,0,0,newer_supported_filing_displaced_by_policy
CIFR,0001819989,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1819989/000181998926000009/cifr-20251231.htm,2026-02-24,2026-08-22,,,,0001819989-26-000009/cifr-20251231.htm,0001819989-26-000009,cifr-20251231.htm,10-K,2026-02-24T14:06:47.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001819989.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,14,16,10,0,
COHR,0000820318,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/820318/000082031826000020/iivi-20260630.htm,2026-08-14,2026-08-22,,,,0000820318-26-000020/iivi-20260630.htm,0000820318-26-000020,iivi-20260630.htm,10-K,2026-08-14T12:10:05.000Z,2026-06-30,https://data.sec.gov/submissions/CIK0000820318.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,9,2,4,0,
CRCL,0001876042,NYSE,10-K,10-K/A,https://www.sec.gov/Archives/edgar/data/1876042/000187604226000228/crcl-20251231.htm,2026-07-13,2026-08-22,,,,0001876042-26-000228/crcl-20251231.htm,0001876042-26-000228,crcl-20251231.htm,10-K/A,2026-07-13T20:40:02.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001876042.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,8,2,0,0,
CRDO,0001807794,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1807794/000162828026043303/crdo-20260502.htm,2026-06-15,2026-08-22,,,,0001628280-26-043303/crdo-20260502.htm,0001628280-26-043303,crdo-20260502.htm,10-K,2026-06-15T21:09:27.000Z,2026-05-02,https://data.sec.gov/submissions/CIK0001807794.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,8,1,3,0,
CRWV,0001769628,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1769628/000176962826000104/crwv-20251231.htm,2026-03-02,2026-08-22,,,,0001769628-26-000104/crwv-20251231.htm,0001769628-26-000104,crwv-20251231.htm,10-K,2026-03-02T21:14:01.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001769628.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_newest_foundational_business_filing,10-K,0,,,1,1,0,0,
ENRD,0002095096,Nasdaq,F-1,F-1,https://www.sec.gov/Archives/edgar/data/2095096/000182912626007382/einrideab_f1.htm,2026-07-08,2026-08-22,,,,0001829126-26-007382/einrideab_f1.htm,0001829126-26-007382,einrideab_f1.htm,F-1,2026-07-07T23:49:26.000Z,,https://data.sec.gov/submissions/CIK0002095096.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,F-1,2,424B3,424B3,1,3,0,0,newer_supported_filing_displaced_by_policy
EOSE,0001805077,Nasdaq,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1805077/000162828026011961/eose-20251231.htm,2026-02-26,2026-08-22,,,,0001628280-26-011961/eose-20251231.htm,0001628280-26-011961,eose-20251231.htm,10-K,2026-02-26T11:38:49.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001805077.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,3,424B2;424B5,424B2;424B5,17,17,33,0,newer_supported_filing_displaced_by_policy
ETN,0001551182,NYSE,10-K,10-K,https://www.sec.gov/Archives/edgar/data/1551182/000155118226000007/etn-20251231.htm,2026-02-26,2026-08-22,,,,0001551182-26-000007/etn-20251231.htm,0001551182-26-000007,etn-20251231.htm,10-K,2026-02-26T20:24:16.000Z,2025-12-31,https://data.sec.gov/submissions/CIK0001551182.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,10-K,4,424B5,424B5,9,0,14,0,newer_supported_filing_displaced_by_policy
FLY,0001860160,Nasdaq,S-1,S-1,https://www.sec.gov/Archives/edgar/data/1860160/000119312526239249/d104612ds1.htm,2026-05-26,2026-08-22,,,,0001193125-26-239249/d104612ds1.htm,0001193125-26-239249,d104612ds1.htm,S-1,2026-05-26T20:06:26.000Z,,https://data.sec.gov/submissions/CIK0001860160.json,foundational-first,foundational_business_filing,foundational_business_filing,selected_foundational_business_filing_over_newer_supported_filing,S-1,5,424B3;424B4,424B3;424B4,7,12,0,0,newer_supported_filing_displaced_by_policy
